question_id,question,expected_answer,expected_source,expected_section,answerable,retrieved_chunks,generated_answer,retrieval_relevance,answer_correctness,groundedness,hallucination,retrieved_source_documents,evaluation_status,source_attribution,answer_correctness_score,groundedness_score,completeness_score,retrieved_chunk_count,quality_status
Q016,Who approves leave requests?,Leave requests are subject to manager approval and operational requirements.,Leave_Policy.docx,3. Leave Approval,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Leave_Policy.docx | Leave_Policy.docx_chunk_0010 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0004,"Based on the provided documents (`Leave_Policy.docx`), leave requests are subject to manager approval and operational requirements.",0.5694 || 0.3873 || 0.3802,,,,Leave_Policy.docx || Leave_Policy.docx || Attendance_Policy.docx,SUCCESS,1.0,0.9109968543052673,1.0,1.0,3,PASS
Q017,What factors affect leave approval?,Manager approval and operational requirements.,Leave_Policy.docx,3. Leave Approval,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Leave_Policy.docx | Leave_Policy.docx_chunk_0010 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0004,"Based on `Leave_Policy.docx`, leave requests are subject to manager approval and operational requirements.",0.3907 || 0.3560 || 0.3385,,,,Leave_Policy.docx || Leave_Policy.docx || Attendance_Policy.docx,SUCCESS,1.0,0.7497542351484299,1.0,1.0,3,PASS
Q018,Should employees avoid submitting leave requests at the last minute?,Yes. Employees should avoid last-minute requests except in emergency situations.,Leave_Policy.docx,3. Leave Approval,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0004 || Leave_Policy.docx | Leave_Policy.docx_chunk_0012,"Yes, employees should avoid submitting leave requests at the last minute, except in emergency situations (Source 1: `Leave_Policy.docx`).",0.7083 || 0.4954 || 0.4740,,,,Leave_Policy.docx || Attendance_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,1.0,1.0,0.5,3,PASS
Q019,Are emergency situations an exception to the last-minute leave guidance?,Yes. Emergency situations are an exception to the general last-minute guidance.,Leave_Policy.docx,3. Leave Approval,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0012 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0004,"Yes, emergency situations are an exception to the last-minute leave guidance, as employees should avoid submitting leave requests at the last minute except in emergency situations (Leave_Policy.docx).",0.7042 || 0.6204 || 0.3908,,,,Leave_Policy.docx || Leave_Policy.docx || Attendance_Policy.docx,SUCCESS,1.0,1.0,1.0,0.5,3,PASS
Q020,What does the policy say about operational requirements for leave?,Leave approval is subject to operational requirements as well as manager approval.,Leave_Policy.docx,3. Leave Approval,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0010 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Leave_Policy.docx | Leave_Policy.docx_chunk_0012,"According to `Leave_Policy.docx`, leave requests are subject to manager approval and operational requirements.",0.5301 || 0.5049 || 0.4274,,,,Leave_Policy.docx || Leave_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,0.858380138874054,1.0,1.0,3,PASS
Q021,What is the standard working schedule?,"Monday through Friday, with eight working hours per day.",Attendance_Policy.docx,1. Standard Schedule,Yes,Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003 || Employee_Handbook.docx | Employee_Handbook.docx_chunk_0006 || Employee_Handbook.docx | Employee_Handbook.docx_chunk_0005,"Based on the provided documents (`Attendance_Policy.docx` and `Employee_Handbook.docx`), the standard working schedule is Monday through Friday, with eight working hours per day.",0.5834 || 0.5810 || 0.4700,,,,Attendance_Policy.docx || Employee_Handbook.docx || Employee_Handbook.docx,SUCCESS,1.0,0.8134101033210754,1.0,1.0,3,PASS
Q022,How many working hours are required per day under the standard schedule?,Eight working hours per day.,Attendance_Policy.docx,1. Standard Schedule,Yes,Employee_Handbook.docx | Employee_Handbook.docx_chunk_0006 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003 || Employee_Handbook.docx | Employee_Handbook.docx_chunk_0005,"Under the standard schedule, employees are generally expected to work eight hours per working day (Source 1: Employee_Handbook.docx, Source 2: Attendance_Policy.docx, and Source 3: Employee_Handbook.docx).",0.5870 || 0.5342 || 0.4773,,,,Employee_Handbook.docx || Attendance_Policy.docx || Employee_Handbook.docx,SUCCESS,1.0,0.8527293801307678,1.0,1.0,3,PASS
Q023,Which days make up the standard working week?,Monday through Friday.,Attendance_Policy.docx,1. Standard Schedule,Yes,Employee_Handbook.docx | Employee_Handbook.docx_chunk_0006 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003 || Work_From_Home_Policy.docx | Work_From_Home_Policy.docx_chunk_0018,"Based on the provided company documents, the standard working schedule is Monday through Friday (*Attendance_Policy.docx*).",0.4435 || 0.4042 || 0.3485,,,,Employee_Handbook.docx || Attendance_Policy.docx || Work_From_Home_Policy.docx,SUCCESS,1.0,0.802854984998703,1.0,1.0,3,PASS
Q024,Does the standard schedule run Monday through Friday?,Yes. The standard schedule is Monday through Friday.,Attendance_Policy.docx,1. Standard Schedule,Yes,Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003 || Employee_Handbook.docx | Employee_Handbook.docx_chunk_0006 || Employee_Handbook.docx | Employee_Handbook.docx_chunk_0005,"Yes, according to the provided documents (`Attendance_Policy.docx` and `Employee_Handbook.docx`), the standard working schedule is Monday through Friday with eight working hours per day.",0.4530 || 0.4285 || 0.3066,,,,Attendance_Policy.docx || Employee_Handbook.docx || Employee_Handbook.docx,SUCCESS,1.0,1.0,1.0,0.5,3,PASS
Q025,How many working hours per day are specified in the Attendance Policy?,Eight working hours per day.,Attendance_Policy.docx,1. Standard Schedule,Yes,Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003 || Employee_Handbook.docx | Employee_Handbook.docx_chunk_0006 || Work_From_Home_Policy.docx | Work_From_Home_Policy.docx_chunk_0018,"Based on the *Attendance_Policy.docx*, the standard working schedule is eight working hours per day.",0.6486 || 0.5207 || 0.4381,,,,Attendance_Policy.docx || Employee_Handbook.docx || Work_From_Home_Policy.docx,SUCCESS,1.0,0.856070339679718,1.0,1.0,3,PASS
Q026,What are the core collaboration hours?,Core collaboration hours are from 10:00 AM to 4:00 PM.,Attendance_Policy.docx,2. Core Hours,Yes,Employee_Handbook.docx | Employee_Handbook.docx_chunk_0006 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003 || Work_From_Home_Policy.docx | Work_From_Home_Policy.docx_chunk_0019,"The core collaboration hours are from 10:00 AM to 4:00 PM (Source 1: Employee_Handbook.docx, Source 2: Attendance_Policy.docx, and Source 3: Work_From_Home_Policy.docx).",0.7550 || 0.6343 || 0.5209,,,,Employee_Handbook.docx || Attendance_Policy.docx || Work_From_Home_Policy.docx,SUCCESS,1.0,0.970695161819458,1.0,1.0,3,PASS
Q027,When are employees expected to be available during core hours?,Employees are expected to be available from 10:00 AM to 4:00 PM unless they are on approved leave.,Attendance_Policy.docx,2. Core Hours,Yes,Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003 || Employee_Handbook.docx | Employee_Handbook.docx_chunk_0006 || Work_From_Home_Policy.docx | Work_From_Home_Policy.docx_chunk_0019,"Based on the provided documents (`Attendance_Policy.docx`, `Employee_Handbook.docx`, and `Work_From_Home_Policy.docx`), employees are expected to be available during core collaboration hours from 10:00 AM to 4:00 PM.",0.7409 || 0.7048 || 0.6248,,,,Attendance_Policy.docx || Employee_Handbook.docx || Work_From_Home_Policy.docx,SUCCESS,1.0,0.9321292757987976,1.0,1.0,3,PASS
Q028,What time do core collaboration hours begin?,10:00 AM,Attendance_Policy.docx,2. Core Hours,Yes,Employee_Handbook.docx | Employee_Handbook.docx_chunk_0006 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003 || Work_From_Home_Policy.docx | Work_From_Home_Policy.docx_chunk_0019,"Based on the provided documents (such as `Employee_Handbook.docx`, `Attendance_Policy.docx`, and `Work_From_Home_Policy.docx`), core collaboration hours begin at 10:00 AM.",0.7930 || 0.6855 || 0.5676,,,,Employee_Handbook.docx || Attendance_Policy.docx || Work_From_Home_Policy.docx,SUCCESS,1.0,0.8718830704689026,1.0,0.0,3,PASS
Q029,What time do core collaboration hours end?,4:00 PM,Attendance_Policy.docx,2. Core Hours,Yes,Employee_Handbook.docx | Employee_Handbook.docx_chunk_0006 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003 || Work_From_Home_Policy.docx | Work_From_Home_Policy.docx_chunk_0019,"Based on the provided documents (including `Attendance_Policy.docx` and `Work_From_Home_Policy.docx`), core collaboration hours end at 4:00 PM.",0.7908 || 0.6764 || 0.5654,,,,Employee_Handbook.docx || Attendance_Policy.docx || Work_From_Home_Policy.docx,SUCCESS,1.0,0.8867273807525635,1.0,1.0,3,PASS
Q030,Are employees expected to be available during core hours when on approved leave?,No. Employees on approved leave are an exception.,Attendance_Policy.docx,2. Core Hours,Yes,Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003 || Work_From_Home_Policy.docx | Work_From_Home_Policy.docx_chunk_0019 || Employee_Handbook.docx | Employee_Handbook.docx_chunk_0006,"Based on the provided documents, employees are expected to be available during core collaboration hours (10:00 AM to 4:00 PM) *unless* they are on approved leave (*Attendance_Policy.docx*).",0.6292 || 0.6034 || 0.5910,,,,Attendance_Policy.docx || Work_From_Home_Policy.docx || Employee_Handbook.docx,SUCCESS,1.0,0.0,1.0,0.0,3,PASS
Q031,How must employees record attendance?,Employees must accurately record attendance using the organization's approved attendance system.,Attendance_Policy.docx,3. Attendance Recording,Yes,Attendance_Policy.docx | Attendance_Policy.docx_chunk_0004 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003 || Employee_Handbook.docx | Employee_Handbook.docx_chunk_0007,"Based on the provided documents, employees must accurately record their attendance using the organization's approved attendance system (*Attendance_Policy.docx*).",0.7055 || 0.5559 || 0.3998,,,,Attendance_Policy.docx || Attendance_Policy.docx || Employee_Handbook.docx,SUCCESS,1.0,0.9228681921958923,1.0,1.0,3,PASS
Q032,What system should employees use to record attendance?,The organization's approved attendance system.,Attendance_Policy.docx,3. Attendance Recording,Yes,Attendance_Policy.docx | Attendance_Policy.docx_chunk_0004 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003 || Acceptable_Use_Policy.docx | Acceptable_Use_Policy.docx_chunk_0001,"Based on the provided company documents, employees must record their attendance using the organization's approved attendance system (*Attendance_Policy.docx*, Chunk 0003 and Chunk 0004).",0.6551 || 0.5227 || 0.3519,,,,Attendance_Policy.docx || Attendance_Policy.docx || Acceptable_Use_Policy.docx,SUCCESS,1.0,0.8330423831939697,1.0,1.0,3,PASS
Q033,Must attendance be recorded accurately?,Yes. Employees must accurately record attendance.,Attendance_Policy.docx,3. Attendance Recording,Yes,Attendance_Policy.docx | Attendance_Policy.docx_chunk_0004 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003 || Acceptable_Use_Policy.docx | Acceptable_Use_Policy.docx_chunk_0002,"Yes, employees must accurately record their attendance using the organization's approved attendance system (Attendance_Policy.docx).",0.6014 || 0.4752 || 0.2477,,,,Attendance_Policy.docx || Attendance_Policy.docx || Acceptable_Use_Policy.docx,SUCCESS,1.0,1.0,1.0,0.5,3,PASS
Q034,What does the policy require regarding attendance records?,Employees must accurately record attendance using the approved attendance system.,Attendance_Policy.docx,3. Attendance Recording,Yes,Attendance_Policy.docx | Attendance_Policy.docx_chunk_0004 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003 || Travel_Policy.docx | Travel_Policy.docx_chunk_0015,"According to the *Attendance_Policy.docx*, employees must accurately record their attendance using the organization's approved attendance system.",0.5778 || 0.4786 || 0.3106,,,,Attendance_Policy.docx || Attendance_Policy.docx || Travel_Policy.docx,SUCCESS,1.0,0.8808082938194275,1.0,1.0,3,PASS
Q035,Is the approved attendance system used for recording attendance?,Yes.,Attendance_Policy.docx,3. Attendance Recording,Yes,Attendance_Policy.docx | Attendance_Policy.docx_chunk_0004 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003 || Acceptable_Use_Policy.docx | Acceptable_Use_Policy.docx_chunk_0002,"Yes, employees must accurately record attendance using the organization's approved attendance system (*Attendance_Policy.docx*).",0.5613 || 0.5106 || 0.2556,,,,Attendance_Policy.docx || Attendance_Policy.docx || Acceptable_Use_Policy.docx,SUCCESS,1.0,1.0,1.0,0.0,3,PASS
Q036,What should employees do if they expect to arrive late?,They should notify their manager as soon as reasonably possible.,Attendance_Policy.docx,4–5. Late Arrival and Absence,Yes,Attendance_Policy.docx | Attendance_Policy.docx_chunk_0004 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003,"Based on the provided documents, employees who expect to arrive late should notify their manager as soon as reasonably possible (Attendance_Policy.docx).",0.5784 || 0.4940 || 0.4775,,,,Attendance_Policy.docx || Leave_Policy.docx || Attendance_Policy.docx,SUCCESS,1.0,0.8005864322185516,1.0,1.0,3,PASS
Q037,When should a late-arriving employee notify their manager?,As soon as reasonably possible.,Attendance_Policy.docx,4–5. Late Arrival and Absence,Yes,Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0004 || Leave_Policy.docx | Leave_Policy.docx_chunk_0012,"Based on the provided company documents, an employee who expects to arrive late should notify their manager as soon as reasonably possible (Attendance_Policy.docx).",0.5732 || 0.5515 || 0.4348,,,,Leave_Policy.docx || Attendance_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,0.5875080227851868,1.0,0.0,3,PASS
Q038,What should an employee do if they cannot attend work?,They should inform their manager and follow the applicable leave procedure.,Attendance_Policy.docx,4–5. Late Arrival and Absence,Yes,Attendance_Policy.docx | Attendance_Policy.docx_chunk_0004 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003,"According to the *Attendance_Policy.docx*, if an employee cannot attend work, they should inform their manager and follow the applicable leave procedure.",0.5253 || 0.3902 || 0.3686,,,,Attendance_Policy.docx || Leave_Policy.docx || Attendance_Policy.docx,SUCCESS,1.0,0.7939136624336243,1.0,1.0,3,PASS
Q039,What procedure should employees follow when absent?,The applicable leave procedure.,Attendance_Policy.docx,4–5. Late Arrival and Absence,Yes,Attendance_Policy.docx | Attendance_Policy.docx_chunk_0004 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Attendance_Policy.docx | Attendance_Policy.docx_chunk_0003,"According to the *Attendance_Policy.docx*, employees who cannot attend work should inform their manager and follow the applicable leave procedure.",0.6480 || 0.5106 || 0.4774,,,,Attendance_Policy.docx || Leave_Policy.docx || Attendance_Policy.docx,SUCCESS,1.0,0.7748231887817383,1.0,1.0,3,PASS
Q040,Who should an employee inform when they cannot attend work?,Their manager.,Attendance_Policy.docx,4–5. Late Arrival and Absence,Yes,Attendance_Policy.docx | Attendance_Policy.docx_chunk_0004 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011 || Leave_Policy.docx | Leave_Policy.docx_chunk_0012,"Based on the provided documents, an employee who cannot attend work should inform their manager (Attendance_Policy.docx, Chunk ID: Attendance_Policy.docx_chunk_0004).",0.5916 || 0.4595 || 0.4309,,,,Attendance_Policy.docx || Leave_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,0.6513256430625916,1.0,0.0,3,PASS
Q041,Who may request a work-from-home arrangement?,"Employees whose roles can be performed remotely may request WFH, subject to manager approval.",Work_From_Home_Policy.docx,1. Eligibility,Yes,Work_From_Home_Policy.docx | Work_From_Home_Policy.docx_chunk_0018 || Work_From_Home_Policy.docx | Work_From_Home_Policy.docx_chunk_0019 || Employee_Handbook.docx | Employee_Handbook.docx_chunk_0006,"Based on the *Work_From_Home_Policy.docx* document, employees whose roles can be performed remotely may request work-from-home arrangements, subject to manager approval.",0.5831 || 0.5099 || 0.2793,,,,Work_From_Home_Policy.docx || Work_From_Home_Policy.docx || Employee_Handbook.docx,SUCCESS,1.0,0.8171094655990601,1.0,1.0,3,PASS
Q042,What condition must a role meet for an employee to request remote work?,The role must be capable of being performed remotely.,Work_From_Home_Policy.docx,1. Eligibility,Yes,Work_From_Home_Policy.docx | Work_From_Home_Policy.docx_chunk_0019 || Work_From_Home_Policy.docx | Work_From_Home_Policy.docx_chunk_0018 || Employee_Handbook.docx | Employee_Handbook.docx_chunk_0006,"Based on the *Work_From_Home_Policy.docx*, an employee's role must be one that can be performed remotely in order for them to request a work-from-home arrangement (subject to manager approval).",0.6153 || 0.5648 || 0.3945,,,,Work_From_Home_Policy.docx || Work_From_Home_Policy.docx || Employee_Handbook.docx,SUCCESS,1.0,0.7623936533927917,1.0,1.0,3,PASS
Q043,Is manager approval required for work-from-home arrangements?,Yes. WFH arrangements are subject to manager approval.,Work_From_Home_Policy.docx,1. Eligibility,Yes,Work_From_Home_Policy.docx | Work_From_Home_Policy.docx_chunk_0019 || Work_From_Home_Policy.docx | Work_From_Home_Policy.docx_chunk_0018 || Leave_Policy.docx | Leave_Policy.docx_chunk_0011,"Yes, manager approval is required for work-from-home arrangements. Employees must submit their requests to their manager before the planned remote-working period (Source 2: *Work_From_Home_Policy.docx*).",0.6343 || 0.6024 || 0.3823,,,,Work_From_Home_Policy.docx || Work_From_Home_Policy.docx || Leave_Policy.docx,SUCCESS,1.0,1.0,1.0,0.5,3,PASS
Q044,Can employees whose roles can be performed remotely request WFH?,"Yes, subject to manager approval.",Work_From_Home_Policy.docx,1. Eligibility,Yes,Work_From_Home_Policy.docx | Work_From_Home_Policy.docx_chunk_0019 || Work_From_Home_Policy.docx | Work_From_Home_Policy.docx_chunk_0018 || Acceptable_Use_Policy.docx | Acceptable_Use_Policy.docx_chunk_0000,"Yes, employees whose roles can be performed remotely may request work-from-home arrangements, subject to manager approval (Work_From_Home_Policy.docx).",0.5296 || 0.5280 || 0.3311,,,,Work_From_Home_Policy.docx || Work_From_Home_Policy.docx || Acceptable_Use_Policy.docx,SUCCESS,1.0,1.0,1.0,1.0,3,PASS
