question_id,question,expected_answer,expected_source,expected_section,answerable,retrieved_chunks,generated_answer,retrieval_relevance,answer_correctness,groundedness,hallucination
Q042,What condition must a role meet for an employee to request remote work?,The role must be capable of being performed remotely.,Work_From_Home_Policy.docx,1. Eligibility,Yes,,,,,,
Q043,Is manager approval required for work-from-home arrangements?,Yes. WFH arrangements are subject to manager approval.,Work_From_Home_Policy.docx,1. Eligibility,Yes,,,,,,
Q044,Can employees whose roles can be performed remotely request WFH?,"Yes, subject to manager approval.",Work_From_Home_Policy.docx,1. Eligibility,Yes,,,,,,
Q045,What does WFH eligibility depend on?,Whether the role can be performed remotely and manager approval.,Work_From_Home_Policy.docx,1. Eligibility,Yes,,,,,,
Q046,How many consecutive working days can employees work remotely?,Up to 3 consecutive working days.,Work_From_Home_Policy.docx,2. Maximum Consecutive Remote Days,Yes,,,,,,
Q047,What is the maximum number of consecutive remote days?,3 consecutive working days.,Work_From_Home_Policy.docx,2. Maximum Consecutive Remote Days,Yes,,,,,,
Q048,What is the standard WFH maximum for consecutive working days?,Up to 3 consecutive working days.,Work_From_Home_Policy.docx,2. Maximum Consecutive Remote Days,Yes,,,,,,
Q049,Can employees work remotely for 3 consecutive working days?,Yes. The standard arrangement permits up to 3 consecutive working days.,Work_From_Home_Policy.docx,2. Maximum Consecutive Remote Days,Yes,,,,,,
Q050,Does the policy permit more than 3 consecutive remote working days under the standard arrangement?,No. The standard arrangement permits up to 3 consecutive working days.,Work_From_Home_Policy.docx,2. Maximum Consecutive Remote Days,Yes,,,,,,
Q051,Who should receive a work-from-home request?,The employee's manager.,Work_From_Home_Policy.docx,3. Manager Approval,Yes,,,,,,
Q052,When should a WFH request be submitted?,Before the planned remote-working period.,Work_From_Home_Policy.docx,3. Manager Approval,Yes,,,,,,
Q053,Must WFH requests be submitted before the planned remote period?,Yes.,Work_From_Home_Policy.docx,3. Manager Approval,Yes,,,,,,
Q054,Is manager approval required before working remotely?,Yes.,Work_From_Home_Policy.docx,3. Manager Approval,Yes,,,,,,
Q055,What does the policy say about submitting WFH requests?,Requests should be submitted to the employee's manager before the planned remote-working period.,Work_From_Home_Policy.docx,3. Manager Approval,Yes,,,,,,
Q056,What are the core collaboration hours for remote employees?,10:00 AM to 4:00 PM.,Work_From_Home_Policy.docx,4–5. Availability and Security,Yes,,,,,,
Q057,When must remote employees remain reachable?,They must remain reachable during core collaboration hours from 10:00 AM to 4:00 PM.,Work_From_Home_Policy.docx,4–5. Availability and Security,Yes,,,,,,
Q058,What devices must remote employees use?,Approved devices.,Work_From_Home_Policy.docx,4–5. Availability and Security,Yes,,,,,,
Q059,What type of network connection is required for remote work?,Secure network connections.,Work_From_Home_Policy.docx,4–5. Availability and Security,Yes,,,,,,
Q060,Must remote employees follow IT security requirements?,Yes. They must follow all IT security requirements.,Work_From_Home_Policy.docx,4–5. Availability and Security,Yes,,,,,,
Q061,What type of organization is TechNova Solutions?,"TechNova Solutions is a technology organization focused on software engineering, artificial intelligence, cloud computing, and digital business solutions.",Employee_Handbook.docx,1. About TechNova Solutions,Yes,,,,,,
Q062,What areas does TechNova Solutions focus on?,"Software engineering, artificial intelligence, cloud computing, and digital business solutions.",Employee_Handbook.docx,1. About TechNova Solutions,Yes,,,,,,
Q063,Does TechNova Solutions focus on artificial intelligence?,Yes. Artificial intelligence is one of its focus areas.,Employee_Handbook.docx,1. About TechNova Solutions,Yes,,,,,,
Q064,Does the organization work in cloud computing?,Yes. Cloud computing is one of its focus areas.,Employee_Handbook.docx,1. About TechNova Solutions,Yes,,,,,,
Q065,What business solutions does TechNova Solutions provide?,"Digital business solutions, along with software engineering, AI, and cloud computing.",Employee_Handbook.docx,1. About TechNova Solutions,Yes,,,,,,
Q066,What is the standard working schedule according to the Employee Handbook?,Monday through Friday.,Employee_Handbook.docx,2. Working Hours,Yes,,,,,,
Q067,How many hours are employees generally expected to work per working day?,Eight hours per working day.,Employee_Handbook.docx,2. Working Hours,Yes,,,,,,
Q068,What are the core collaboration hours in the Employee Handbook?,10:00 AM to 4:00 PM.,Employee_Handbook.docx,2. Working Hours,Yes,,,,,,
Q069,Which days are included in the standard working schedule?,Monday through Friday.,Employee_Handbook.docx,2. Working Hours,Yes,,,,,,
Q070,Does the handbook specify eight hours per working day?,Yes.,Employee_Handbook.docx,2. Working Hours,Yes,,,,,,
Q071,How should employees perform their assigned responsibilities?,Professionally.,Employee_Handbook.docx,3. Employee Responsibilities,Yes,,,,,,
Q072,Must employees follow organizational policies and procedures?,Yes.,Employee_Handbook.docx,3. Employee Responsibilities,Yes,,,,,,
Q073,What must employees protect?,Confidential company information.,Employee_Handbook.docx,3. Employee Responsibilities,Yes,,,,,,
Q074,How should employees communicate with colleagues?,They must maintain respectful communication with colleagues.,Employee_Handbook.docx,3. Employee Responsibilities,Yes,,,,,,
Q075,What should employees do with security or compliance concerns?,They should report security or compliance concerns promptly.,Employee_Handbook.docx,3. Employee Responsibilities,Yes,,,,,,
Q076,What kind of workplace environment are employees expected to maintain?,A professional and respectful work environment.,Employee_Handbook.docx,4–5. Workplace Conduct and Performance Reviews,Yes,,,,,,
Q077,Must employees comply with the Code of Conduct?,Yes.,Employee_Handbook.docx,4–5. Workplace Conduct and Performance Reviews,Yes,,,,,,
Q078,How often are employee performances reviewed?,Periodically.,Employee_Handbook.docx,4–5. Workplace Conduct and Performance Reviews,Yes,,,,,,
Q079,What factors are considered in performance reviews?,"Responsibilities, goals, collaboration, quality of work, and professional development.",Employee_Handbook.docx,4–5. Workplace Conduct and Performance Reviews,Yes,,,,,,
Q080,Is professional development considered in performance reviews?,Yes.,Employee_Handbook.docx,4–5. Workplace Conduct and Performance Reviews,Yes,,,,,,
Q081,What is the minimum password length?,At least 12 characters.,IT_Security_Policy.docx,1. Password Requirements,Yes,,,,,,
Q082,How many characters must a password contain?,At least 12 characters.,IT_Security_Policy.docx,1. Password Requirements,Yes,,,,,,
Q083,What character types should passwords include?,"A combination of uppercase letters, lowercase letters, numbers, and symbols.",IT_Security_Policy.docx,1. Password Requirements,Yes,,,,,,
Q084,Should passwords contain uppercase and lowercase letters?,Yes.,IT_Security_Policy.docx,1. Password Requirements,Yes,,,,,,
Q085,Should passwords include numbers and symbols?,Yes.,IT_Security_Policy.docx,1. Password Requirements,Yes,,,,,,
Q086,Can employees share their passwords with other people?,No. Employees must not share passwords with other people.,IT_Security_Policy.docx,2–3. Password Protection and MFA,Yes,,,,,,
Q087,Where should passwords not be written?,Publicly accessible locations.,IT_Security_Policy.docx,2–3. Password Protection and MFA,Yes,,,,,,
Q088,What authentication method must be enabled for systems that require it?,Multi-factor authentication.,IT_Security_Policy.docx,2–3. Password Protection and MFA,Yes,,,,,,
Q089,When must multi-factor authentication be enabled?,For systems that require it under the organization's security standards.,IT_Security_Policy.docx,2–3. Password Protection and MFA,Yes,,,,,,
Q090,What does the policy require about password sharing?,Employees must not share passwords with other people.,IT_Security_Policy.docx,2–3. Password Protection and MFA,Yes,,,,,,
Q091,What security controls must employees use on company devices?,Approved security controls.,IT_Security_Policy.docx,4–5. Device Security and Incidents,Yes,,,,,,
Q092,What should employees do when leaving their devices unattended?,They should lock their devices.,IT_Security_Policy.docx,4–5. Device Security and Incidents,Yes,,,,,,
Q093,What types of security incidents must be reported promptly?,"Suspected phishing, malware, unauthorized access, or loss of company devices.",IT_Security_Policy.docx,4–5. Device Security and Incidents,Yes,,,,,,
Q094,Who should receive reports of suspected phishing or malware?,The IT security team.,IT_Security_Policy.docx,4–5. Device Security and Incidents,Yes,,,,,,
Q095,Must loss of a company device be reported?,"Yes, it must be reported promptly.",IT_Security_Policy.docx,4–5. Device Security and Incidents,Yes,,,,,,
Q096,What should company systems and network resources primarily be used for?,Authorized business activities.,Acceptable_Use_Policy.docx,1–2. Appropriate and Prohibited Use,Yes,,,,,,
Q097,Is unauthorized access to company systems prohibited?,Yes.,Acceptable_Use_Policy.docx,1–2. Appropriate and Prohibited Use,Yes,,,,,,
Q098,Is bypassing security controls prohibited?,Yes.,Acceptable_Use_Policy.docx,1–2. Appropriate and Prohibited Use,Yes,,,,,,
Q099,Can employees install unauthorized software on company devices?,No. Installing unauthorized software is prohibited.,Acceptable_Use_Policy.docx,1–2. Appropriate and Prohibited Use,Yes,,,,,,
Q100,Is using company systems for illegal activities allowed?,No.,Acceptable_Use_Policy.docx,1–2. Appropriate and Prohibited Use,Yes,,,,,,
Q101,Can confidential information be shared with unauthorized parties?,No. Sharing confidential information with unauthorized parties is prohibited.,Acceptable_Use_Policy.docx,2. Prohibited Activities,Yes,,,,,,
Q102,What does the policy say about sharing confidential information?,It must not be shared with unauthorized parties.,Acceptable_Use_Policy.docx,2. Prohibited Activities,Yes,,,,,,
Q103,What activities are prohibited on company systems?,"Unauthorized access, bypassing security controls, unauthorized software installation, illegal activities, and unauthorized sharing of confidential information are prohibited.",Acceptable_Use_Policy.docx,2. Prohibited Activities,Yes,,,,,,
Q104,Is attempting to bypass security controls allowed?,No.,Acceptable_Use_Policy.docx,2. Prohibited Activities,Yes,,,,,,
Q105,Is unauthorized system access allowed?,No.,Acceptable_Use_Policy.docx,2. Prohibited Activities,Yes,,,,,,
Q106,What approval is needed before installing software not provided by the organization?,Appropriate approval from the organization.,Acceptable_Use_Policy.docx,"3–5. Software, Internet and Monitoring",Yes,,,,,,
Q107,How should internet resources be used?,Responsibly and in accordance with company security and professional conduct requirements.,Acceptable_Use_Policy.docx,"3–5. Software, Internet and Monitoring",Yes,,,,,,
Q108,Can company systems be monitored?,Yes.,Acceptable_Use_Policy.docx,"3–5. Software, Internet and Monitoring",Yes,,,,,,
Q109,Under what conditions may company systems be monitored?,In accordance with applicable organizational policies and legal requirements.,Acceptable_Use_Policy.docx,"3–5. Software, Internet and Monitoring",Yes,,,,,,
Q110,Must internet use comply with security and professional conduct requirements?,Yes.,Acceptable_Use_Policy.docx,"3–5. Software, Internet and Monitoring",Yes,,,,,,
Q111,When must business travel receive authorization?,"Before bookings are made, except where emergency business circumstances require otherwise.",Travel_Policy.docx,1–2. Authorization and Booking,Yes,,,,,,
Q112,What should employees use to book business travel?,The organization's approved travel booking process.,Travel_Policy.docx,1–2. Authorization and Booking,Yes,,,,,,
Q113,Does travel authorization normally come before bookings?,Yes.,Travel_Policy.docx,1–2. Authorization and Booking,Yes,,,,,,
Q114,Which travel arrangements are covered by the approved booking process?,"Flights, accommodation, and other eligible travel arrangements.",Travel_Policy.docx,1–2. Authorization and Booking,Yes,,,,,,
Q115,Is emergency business travel an exception to prior authorization?,Yes.,Travel_Policy.docx,1–2. Authorization and Booking,Yes,,,,,,
Q116,What transportation expenses may be reimbursed?,Reasonable transportation expenses incurred for approved business travel may be reimbursed according to organizational guidelines.,Travel_Policy.docx,"3–5. Transportation, Accommodation and Expenses",Yes,,,,,,
Q117,How should employees choose accommodation?,They should select reasonably priced accommodation that meets business requirements and reimbursement limits.,Travel_Policy.docx,"3–5. Transportation, Accommodation and Expenses",Yes,,,,,,
Q118,What must employees submit for eligible travel expenses?,Appropriate receipts and supporting documentation.,Travel_Policy.docx,"3–5. Transportation, Accommodation and Expenses",Yes,,,,,,
Q119,When should travel expense claims be submitted?,After completing the trip.,Travel_Policy.docx,"3–5. Transportation, Accommodation and Expenses",Yes,,,,,,
Q120,What supporting documentation is required for travel expense claims?,Appropriate receipts and supporting documentation.,Travel_Policy.docx,"3–5. Transportation, Accommodation and Expenses",Yes,,,,,,
Q121,What must employees submit when they require products or services?,A procurement request describing the business requirement.,Procurement_SOP.docx,1–2. Request and Manager Approval,Yes,,,,,,
Q122,What should a procurement request describe?,The business requirement.,Procurement_SOP.docx,1–2. Request and Manager Approval,Yes,,,,,,
Q123,Is manager approval required before purchasing begins?,Yes.,Procurement_SOP.docx,1–2. Request and Manager Approval,Yes,,,,,,
Q124,Who must approve a procurement request?,An appropriate manager.,Procurement_SOP.docx,1–2. Request and Manager Approval,Yes,,,,,,
Q125,When must manager approval be obtained?,Before the purchasing process begins.,Procurement_SOP.docx,1–2. Request and Manager Approval,Yes,,,,,,
Q126,What factors should procurement personnel consider when evaluating vendors?,"Price, quality, delivery requirements, and organizational needs.",Procurement_SOP.docx,"3–5. Vendor, Purchase and Documentation",Yes,,,,,,
Q127,Must purchases receive authorization before an order is placed?,Yes.,Procurement_SOP.docx,"3–5. Vendor, Purchase and Documentation",Yes,,,,,,
Q128,What records should procurement documentation include?,"The request, approval information, vendor details, purchase documentation, and relevant invoices.",Procurement_SOP.docx,"3–5. Vendor, Purchase and Documentation",Yes,,,,,,
Q129,Should vendor details be included in procurement records?,Yes.,Procurement_SOP.docx,"3–5. Vendor, Purchase and Documentation",Yes,,,,,,
Q130,Should relevant invoices be included in procurement records?,Yes.,Procurement_SOP.docx,"3–5. Vendor, Purchase and Documentation",Yes,,,,,,
Q131,What are the standard core collaboration hours for employees and remote workers?,10:00 AM to 4:00 PM.,Attendance_Policy.docx; Work_From_Home_Policy.docx,Attendance Policy 2; WFH Policy 4,Yes,,,,,,
Q132,What should an employee do if they are working remotely and suspect a security issue?,They must follow IT security requirements and report suspected security incidents promptly to the IT security team.,Work_From_Home_Policy.docx; IT_Security_Policy.docx,WFH Policy 5; IT Security Policy 5,Yes,,,,,,
Q133,What requirements apply both to attendance and work-from-home availability?,"Employees are expected to be available during core collaboration hours from 10:00 AM to 4:00 PM, subject to the stated exceptions.",Attendance_Policy.docx; Work_From_Home_Policy.docx,Attendance Policy 2; WFH Policy 4,Yes,,,,,,
Q134,What do the Leave Policy and WFH Policy require regarding manager involvement?,"Leave requests are subject to manager approval, and WFH arrangements are also subject to manager approval.",Leave_Policy.docx; Work_From_Home_Policy.docx,Leave Policy 3; WFH Policy 1,Yes,,,,,,
Q135,What security-related responsibilities are stated for employees in the Employee Handbook and IT Security Policy?,"Employees must protect confidential company information, report security or compliance concerns promptly, use required security controls, protect passwords, and report suspected security incidents promptly.",Employee_Handbook.docx; IT_Security_Policy.docx,Handbook 3; IT Security 1–5,Yes,,,,,,
Q136,What is the company's maternity leave duration?,The provided documents do not contain sufficient information about maternity leave.,None,No matching section in the provided document collection.,No,,,,,,
Q137,What is the employee resignation notice period?,The provided documents do not contain sufficient information about the resignation notice period.,None,No matching section in the provided document collection.,No,,,,,,
Q138,What is the employee salary increment percentage?,The provided documents do not contain sufficient information about salary increments.,None,No matching section in the provided document collection.,No,,,,,,
Q139,How much is the annual performance bonus?,The provided documents do not contain sufficient information about annual performance bonuses.,None,No matching section in the provided document collection.,No,,,,,,
Q140,What is the company's health insurance coverage amount?,The provided documents do not contain sufficient information about health insurance coverage amounts.,None,No matching section in the provided document collection.,No,,,,,,
Q141,How many parental leave days are available?,The provided documents do not contain sufficient information about parental leave entitlement.,None,No matching section in the provided document collection.,No,,,,,,
Q142,What is the retirement age for employees?,The provided documents do not contain sufficient information about retirement age.,None,No matching section in the provided document collection.,No,,,,,,
Q143,What is the employee pension contribution percentage?,The provided documents do not contain sufficient information about pension contributions.,None,No matching section in the provided document collection.,No,,,,,,
Q144,What is the company's annual revenue?,The provided documents do not contain sufficient information about company revenue.,None,No matching section in the provided document collection.,No,,,,,,
Q145,Who is the Chief Executive Officer of TechNova Solutions?,The provided documents do not contain sufficient information about the CEO.,None,No matching section in the provided document collection.,No,,,,,,
Q146,What is the office address of TechNova Solutions?,The provided documents do not contain sufficient information about the company's office address.,None,No matching section in the provided document collection.,No,,,,,,
Q147,What is the employee referral bonus amount?,The provided documents do not contain sufficient information about employee referral bonuses.,None,No matching section in the provided document collection.,No,,,,,,
Q148,How many vacation days do part-time employees receive?,The provided documents do not contain sufficient information about part-time employee vacation entitlement.,None,No matching section in the provided document collection.,No,,,,,,
Q149,What is the exact budget limit for procurement purchases?,The provided documents do not specify an exact monetary procurement budget limit.,None,Procurement SOP contains authorization requirements but no exact monetary limit.,No,,,,,,
Q150,What is the maximum hotel reimbursement amount per night?,The provided documents do not specify an exact hotel reimbursement amount.,None,Travel Policy mentions reimbursement limits but does not provide an exact monetary amount.,No,,,,,,
